archivo,linea,tipo,etiqueta_latex,titulo,fila,columna,valor_crudo,valor
inattention_energy_prices.tex,887,tabla,resultadosprecision,Precision Model results.,"2:200,000,000",2,0.798,0.798
inattention_energy_prices.tex,887,tabla,resultadosprecision,Precision Model results.,"2:200,000,000",3,1.202,1.202
inattention_energy_prices.tex,887,tabla,resultadosprecision,Precision Model results.,"2:200,000,000",4,155.15,155.15
inattention_energy_prices.tex,888,tabla,resultadosprecision,Precision Model results.,"3:300,000,000",0,"300,000,000",300000000.0
inattention_energy_prices.tex,888,tabla,resultadosprecision,Precision Model results.,"3:300,000,000",1,"354,508,234",354508234.0
inattention_energy_prices.tex,888,tabla,resultadosprecision,Precision Model results.,"3:300,000,000",2,0.798,0.798
inattention_energy_prices.tex,888,tabla,resultadosprecision,Precision Model results.,"3:300,000,000",3,1.182,1.182
inattention_energy_prices.tex,888,tabla,resultadosprecision,Precision Model results.,"3:300,000,000",4,39.07,39.07
inattention_energy_prices.tex,889,tabla,resultadosprecision,Precision Model results.,"4:400,000,000",0,"400,000,000",400000000.0
inattention_energy_prices.tex,889,tabla,resultadosprecision,Precision Model results.,"4:400,000,000",1,"435,648,945",435648945.0
inattention_energy_prices.tex,889,tabla,resultadosprecision,Precision Model results.,"4:400,000,000",2,0.798,0.798
inattention_energy_prices.tex,889,tabla,resultadosprecision,Precision Model results.,"4:400,000,000",3,1.089,1.089
inattention_energy_prices.tex,889,tabla,resultadosprecision,Precision Model results.,"4:400,000,000",4,33.93,33.93
inattention_energy_prices.tex,890,tabla,resultadosprecision,Precision Model results.,"5:500,000,000",0,"500,000,000",500000000.0
inattention_energy_prices.tex,890,tabla,resultadosprecision,Precision Model results.,"5:500,000,000",1,"590,042,475",590042475.0
inattention_energy_prices.tex,890,tabla,resultadosprecision,Precision Model results.,"5:500,000,000",2,0.798,0.798
inattention_energy_prices.tex,890,tabla,resultadosprecision,Precision Model results.,"5:500,000,000",3,1.180,1.18
inattention_energy_prices.tex,890,tabla,resultadosprecision,Precision Model results.,"5:500,000,000",4,38.83,38.83
